,bizcircle_name,bizcircle_url,district
0,安定门,https://bj.zu.ke.com/zufang/andingmen/,东城
1,安贞,https://bj.zu.ke.com/zufang/anzhen1/,东城
2,朝阳门外,https://bj.zu.ke.com/zufang/chaoyangmenwai1/,东城
3,朝阳门内,https://bj.zu.ke.com/zufang/chaoyangmennei1/,东城
4,崇文门,https://bj.zu.ke.com/zufang/chongwenmen/,东城
5,东单,https://bj.zu.ke.com/zufang/dongdan/,东城
6,东直门,https://bj.zu.ke.com/zufang/dongzhimen/,东城
7,地安门,https://bj.zu.ke.com/zufang/dianmen/,东城
8,东花市,https://bj.zu.ke.com/zufang/donghuashi/,东城
9,东四,https://bj.zu.ke.com/zufang/dongsi1/,东城
10,灯市口,https://bj.zu.ke.com/zufang/dengshikou/,东城
11,广渠门,https://bj.zu.ke.com/zufang/guangqumen/,东城
12,工体,https://bj.zu.ke.com/zufang/gongti/,东城
13,和平里,https://bj.zu.ke.com/zufang/hepingli/,东城
14,交道口,https://bj.zu.ke.com/zufang/jiaodaokou/,东城
15,建国门外,https://bj.zu.ke.com/zufang/jianguomenwai/,东城
16,建国门内,https://bj.zu.ke.com/zufang/jianguomennei/,东城
17,金宝街,https://bj.zu.ke.com/zufang/jinbaojie/,东城
18,六铺炕,https://bj.zu.ke.com/zufang/liupukang/,东城
19,蒲黄榆,https://bj.zu.ke.com/zufang/puhuangyu/,东城
20,前门,https://bj.zu.ke.com/zufang/qianmen/,东城
21,陶然亭,https://bj.zu.ke.com/zufang/taoranting1/,东城
22,天坛,https://bj.zu.ke.com/zufang/tiantan/,东城
23,西罗园,https://bj.zu.ke.com/zufang/xiluoyuan/,东城
24,西单,https://bj.zu.ke.com/zufang/xidan/,东城
25,永定门,https://bj.zu.ke.com/zufang/yongdingmen/,东城
26,洋桥,https://bj.zu.ke.com/zufang/yangqiao1/,东城
27,左安门,https://bj.zu.ke.com/zufang/zuoanmen1/,东城
28,白纸坊,https://bj.zu.ke.com/zufang/baizhifang1/,西城
29,菜户营,https://bj.zu.ke.com/zufang/caihuying/,西城
30,长椿街,https://bj.zu.ke.com/zufang/changchunjie/,西城
31,崇文门,https://bj.zu.ke.com/zufang/chongwenmen/,西城
32,车公庄,https://bj.zu.ke.com/zufang/chegongzhuang1/,西城
33,地安门,https://bj.zu.ke.com/zufang/dianmen/,西城
34,德胜门,https://bj.zu.ke.com/zufang/deshengmen/,西城
35,阜成门,https://bj.zu.ke.com/zufang/fuchengmen/,西城
36,广安门,https://bj.zu.ke.com/zufang/guanganmen/,西城
37,官园,https://bj.zu.ke.com/zufang/guanyuan/,西城
38,金融街,https://bj.zu.ke.com/zufang/jinrongjie/,西城
39,六铺炕,https://bj.zu.ke.com/zufang/liupukang/,西城
40,马甸,https://bj.zu.ke.com/zufang/madian1/,西城
41,马连道,https://bj.zu.ke.com/zufang/maliandao1/,西城
42,木樨地,https://bj.zu.ke.com/zufang/muxidi1/,西城
43,牛街,https://bj.zu.ke.com/zufang/niujie/,西城
44,陶然亭,https://bj.zu.ke.com/zufang/taoranting1/,西城
45,太平桥,https://bj.zu.ke.com/zufang/taipingqiao1/,西城
46,天宁寺,https://bj.zu.ke.com/zufang/tianningsi1/,西城
47,西四,https://bj.zu.ke.com/zufang/xisi1/,西城
48,宣武门,https://bj.zu.ke.com/zufang/xuanwumen12/,西城
49,西直门,https://bj.zu.ke.com/zufang/xizhimen1/,西城
50,新街口,https://bj.zu.ke.com/zufang/xinjiekou2/,西城
51,西单,https://bj.zu.ke.com/zufang/xidan/,西城
52,月坛,https://bj.zu.ke.com/zufang/yuetan/,西城
53,右安门内,https://bj.zu.ke.com/zufang/youanmennei11/,西城
54,安定门,https://bj.zu.ke.com/zufang/andingmen/,朝阳
55,安贞,https://bj.zu.ke.com/zufang/anzhen1/,朝阳
56,奥林匹克公园,https://bj.zu.ke.com/zufang/aolinpikegongyuan11/,朝阳
57,北苑,https://bj.zu.ke.com/zufang/beiyuan2/,朝阳
58,北工大,https://bj.zu.ke.com/zufang/beigongda/,朝阳
59,百子湾,https://bj.zu.ke.com/zufang/baiziwan/,朝阳
60,成寿寺,https://bj.zu.ke.com/zufang/chengshousi1/,朝阳
61,常营,https://bj.zu.ke.com/zufang/changying/,朝阳
62,朝阳门外,https://bj.zu.ke.com/zufang/chaoyangmenwai1/,朝阳
63,CBD,https://bj.zu.ke.com/zufang/cbd/,朝阳
64,朝青,https://bj.zu.ke.com/zufang/chaoqing/,朝阳
65,朝阳公园,https://bj.zu.ke.com/zufang/chaoyanggongyuan/,朝阳
66,东直门,https://bj.zu.ke.com/zufang/dongzhimen/,朝阳
67,东坝,https://bj.zu.ke.com/zufang/dongba/,朝阳
68,大望路,https://bj.zu.ke.com/zufang/dawanglu/,朝阳
69,东大桥,https://bj.zu.ke.com/zufang/dongdaqiao/,朝阳
70,大山子,https://bj.zu.ke.com/zufang/dashanzi/,朝阳
71,豆各庄,https://bj.zu.ke.com/zufang/dougezhuang/,朝阳
72,定福庄,https://bj.zu.ke.com/zufang/dingfuzhuang/,朝阳
73,方庄,https://bj.zu.ke.com/zufang/fangzhuang1/,朝阳
74,垡头,https://bj.zu.ke.com/zufang/fatou/,朝阳
75,广渠门,https://bj.zu.ke.com/zufang/guangqumen/,朝阳
76,工体,https://bj.zu.ke.com/zufang/gongti/,朝阳
77,高碑店,https://bj.zu.ke.com/zufang/gaobeidian/,朝阳
78,国展,https://bj.zu.ke.com/zufang/guozhan1/,朝阳
79,甘露园,https://bj.zu.ke.com/zufang/ganluyuan/,朝阳
80,管庄,https://bj.zu.ke.com/zufang/guanzhuang/,朝阳
81,和平里,https://bj.zu.ke.com/zufang/hepingli/,朝阳
82,欢乐谷,https://bj.zu.ke.com/zufang/huanlegu/,朝阳
83,惠新西街,https://bj.zu.ke.com/zufang/huixinxijie/,朝阳
84,红庙,https://bj.zu.ke.com/zufang/hongmiao/,朝阳
85,华威桥,https://bj.zu.ke.com/zufang/huaweiqiao/,朝阳
86,健翔桥,https://bj.zu.ke.com/zufang/jianxiangqiao1/,朝阳
87,酒仙桥,https://bj.zu.ke.com/zufang/jiuxianqiao/,朝阳
88,劲松,https://bj.zu.ke.com/zufang/jinsong/,朝阳
89,建国门外,https://bj.zu.ke.com/zufang/jianguomenwai/,朝阳
90,立水桥,https://bj.zu.ke.com/zufang/lishuiqiao1/,朝阳
91,马甸,https://bj.zu.ke.com/zufang/madian1/,朝阳
