,0,类型,标题,上架时间,编号,信息卡照片,信息卡号,营业执照,经纪备案,房源图片列表,价格,特色标签列表,户型,面积,朝向,经纪人姓名,经纪人联系方式,最短租期,最长租期,所在楼层,总楼层,车位,用电,入住,看房,电梯,用水,燃气,电视,冰箱,洗衣机,空调,热水器,床,暖气,宽带,衣柜,天然气,地址和交通,小区最新成交,房源描述,房源链接
1,1,整租,金台路地铁 近朝阳公园 装修好 诚意出租 带车位,2019-03-23,BJ2163168689300439040,https://ke-image.ljcdn.com/ehr-personnel/20180822150725794SSWTFBRM.jpg,,,,"[""https://ke-image.ljcdn.com/110000-inspection/2ac179b8-3448-43f7-9665-75b457a1f35c.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/110000-inspection/9fe6a4d2-cee4-4979-aa72-b6d6e85eea36.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/110000-inspection/22508756-83ee-46e3-9d19-a3e637e0918c.jpg.780x439.jpg""]",16000,"[""近地铁"", ""精装"", ""集中供暖"", ""随时看房""]",1室1厅1卫,82,东南,,,1年以内,1年以内,中楼层,17,租用车位,民电,随时入住,需提前预约,有,民水,有,1,1,1,1,1,1,1,1,1,1,,,"【房源亮点】 业主诚意出租 家具家电齐全 业主平时不需要房子可以长租。希望可以找一个稳定点的租户。现在房子保持的好，很干净整洁。
【交通出行】 地铁6号线14号线金台路地铁，公交车站有：31路，117路，419路，421路，502路，619路，635路，673路，68…",https://bj.zu.ke.com/zufang/BJ2163168689300439040.html
2,3,整租,三环新城7号院 2室1厅,2019-04-10,BJ2231422598192046080,https://ke-image.ljcdn.com/rent-house-1/b583fbf779e82605193782c16a278a6d.jpg,,,,"[""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1555446154425/1251c5f4a13978d8a8bd3b4919985edc.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1555446154425/133f41b4a52d4bc9dea3c95f580f318a.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1555446154673/e2d96d1ef77b86a740fc26e16c61971f.jpg.780x439.jpg""]",6690,"[""公寓"", ""近地铁"", ""押一付一"", ""随时看房""]",2室1厅1卫,63,西,,,暂无数据,暂无数据,3,29,暂无数据,暂无数据,随时入住,随时可看,暂无数据,暂无数据,暂无数据,1,1,1,1,1,1,0,1,1,0,,,阿娇东西撒U型地哦啊成麻烦让我莫iwapenpoiawe倒萨的更换为球队与网球已丢失一哦对后iwqhdiowqiofdiwiqodiowdioq三大丢奥iusioquwifduiowuoifuiowqufoiuiuowiufoiuiofuiufupfupwufpw费问题广泛而用途…,https://bj.zu.ke.com/zufang/BJ2231422598192046080.html
3,5,整租,宝丰大厦 3室1厅 5500元,2019-03-03,BJ2163169521073405952,https://ke-image.ljcdn.com/ehr-personnel/20181028133017470FLAE0GFT.jpg,,,,"[""https://ke-image.ljcdn.com/110000-inspection/prod-9e67a9d3-98fc-4697-966e-64e3f99cd9f3.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/110000-inspection/prod-c34bce2d-cf76-4cce-ab1b-20dbda35acb4.jpeg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/110000-inspection/prod-333ba0c0-4e47-4140-81b1-d3f6a965aec1.png.780x439.jpg""]",5500,"[""近地铁"", ""集中供暖"", ""随时看房""]",3室1厅1卫,102,西北,,,720,1080,低楼层,18,暂无数据,民电,随时入住,需提前预约,有,民水,有,1,1,1,1,1,1,1,1,1,1,,,,https://bj.zu.ke.com/zufang/BJ2163169521073405952.html
4,7,未知,白广路东里1号院 1室1厅 6800元,2019-03-02,BJ2173834470623281152,https://ke-image.ljcdn.com/ehr-personnel/20180823095443064CQ4S9UDW.jpg,,,,"[""https://ke-image.ljcdn.com/110000-inspection/prod-66c4395d-76ba-4e7a-a690-bfccfe89b1d4.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/hdic-frame/prod-962c6104-85b7-445c-a309-0fa341cdc7a6.png.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/110000-inspection/prod-b07a2616-6dc2-4c73-bc27-c98b48c071ea.jpg.780x439.jpg""]",6800,"[""近地铁"", ""集中供暖"", ""随时看房""]",1室1厅1卫,66,南 北,,,暂无数据,暂无数据,低楼层,6,暂无数据,暂无数据,随时入住,一般下班后可看,暂无数据,暂无数据,有,0,0,0,0,0,0,0,0,0,0,,,,https://bj.zu.ke.com/zufang/BJ2173834470623281152.html
5,9,整租,永乐东区 2室1厅,2019-04-10,BJ2231425494828720128,https://ke-image.ljcdn.com/rent-house-1/b583fbf779e82605193782c16a278a6d.jpg,,,,"[""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1554841621767/5e9c84f9ca2067e3556682e4ce98cb90.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1554841621767/e9c916ec321e49ce3a25a86bbcb25602.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1554841621767/3a572e0bac154029190524eeb11acef1.jpg.780x439.jpg""]",6290,"[""公寓"", ""近地铁"", ""押一付一"", ""随时看房""]",2室1厅1卫,67,东,,,暂无数据,暂无数据,8,18,暂无数据,暂无数据,随时入住,随时可看,暂无数据,暂无数据,暂无数据,1,1,1,1,1,1,0,1,1,0,,,该房源为整租两居室户型，主卧朝西南带独立阳台，采光效果较好，实用面积较大，次卧朝西南，有窗，采光效果较好，进房门即为客厅，正对面为厨房，左手边为卫生间，该户型设计使居住起居较为方便，温馨优雅的装修风格，给您带来不一样的居住体验，非常欢迎您的入住。,https://bj.zu.ke.com/zufang/BJ2231425494828720128.html
6,11,整租,南沙滩精装业主自住两居室拎包入住,2019-04-15,BJ2199104695631347712,https://ke-image.ljcdn.com/ehr-personnel/20180825084918894YOI5RRA5.jpg,,,,"[""https://ke-image.ljcdn.com/110000-inspection/0ce1fc4f-cfd6-485a-8a06-7d60d9cfaa00.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/hdic-frame/7b5d01d3-6e77-4e61-95c8-a140d8725d6f.png.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/110000-inspection/710f7cea-71ab-4ced-b60b-ac848914686c.jpg.780x439.jpg""]",7000,"[""近地铁"", ""精装"", ""集中供暖"", ""新上"", ""随时看房""]",2室1厅1卫,78,东 西,,,720,1080,低楼层,6,暂无数据,民电,随时入住,需提前预约,无,民水,有,1,1,1,1,1,1,1,1,1,1,,,"【交通出行】 小区北侧420米（高德地图）是地铁15号线北沙滩站，楼下是公交车站，北沙滩桥东站，南沙滩站。西侧是京藏高速，出行方便快捷.
【出租原因】 业主原先自住，家具家电齐全，对客户要求爱惜房子，住的干净整洁
【周边配套】 小区周边配套齐全，银行（中国…",https://bj.zu.ke.com/zufang/BJ2199104695631347712.html
7,13,整租,九龙花园 精装开间 家具家电齐全 随时拎包入住,2019-03-03,BJ2199829810480414720,https://ke-image.ljcdn.com/ehr-personnel/20180823162557337RRZ1KCVQ.jpg,,,,"[""https://ke-image.ljcdn.com/hdic-frame/test-909910ac-3f34-4c69-889b-432b84032dd3.png.780x439.jpg"", ""https://ke-image.ljcdn.com/110000-inspection/0ca78352-166c-4d5c-bc6f-29aeda607a7b.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/110000-inspection/c3c4083e-de57-45a1-bbd4-2d9b725045df.jpg.780x439.jpg""]",6500,"[""近地铁"", ""精装"", ""集中供暖"", ""随时看房""]",1室0厅1卫,53,南,,,1年以内,1年以内,低楼层,23,暂无数据,民电,随时入住,需提前预约,有,民水,有,1,1,1,1,1,1,1,1,1,1,,,"【房源亮点】 该小区位于地铁10号线双井站和地铁7、14号线九龙山地铁站正中间，小区东侧为家乐福超市。合生汇，西侧为富力广场，临近广渠路，交通便利！
【户型介绍】 该房源位于小区正中间，临后排无噪音，南向观花园，采光充足，无遮挡！
【装修描述】 房子装修时…",https://bj.zu.ke.com/zufang/BJ2199829810480414720.html
8,15,整租,定福庄北里1号院两居室出租。。,2019-03-21,BJ2201341653430566912,https://ke-image.ljcdn.com/ehr-personnel/20180822152657588AENSFQE4.jpg,,,,"[""https://ke-image.ljcdn.com/110000-inspection/f48d23ec-8ec6-4009-a17a-422e36826577.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/hdic-frame/0dce6173-1ce7-4e75-bc60-149ee4d052b8.png.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/110000-inspection/93e898f6-d965-448e-86ec-0665344d08de.jpg.780x439.jpg""]",5800,"[""近地铁"", ""精装"", ""集中供暖"", ""随时看房""]",2室1厅1卫,55,南,,,720,1080,中楼层,6,暂无数据,民电,随时入住,需提前预约,无,民水,有,1,1,1,1,1,1,1,1,1,1,,,,https://bj.zu.ke.com/zufang/BJ2201341653430566912.html
9,17,整租,中纺里 2室1厅,2019-04-10,BJ2231578123596734464,https://ke-image.ljcdn.com/rent-house-1/b583fbf779e82605193782c16a278a6d.jpg,,,,"[""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1554859813676/03d3f21850ea247e919f13f8d351b219.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1554859813829/3e6c6b0bcedcc81d8d1e1749f3697bd8.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1554859813677/00d1b9eed650d0183535408f212bb554.jpg.780x439.jpg""]",8360,"[""公寓"", ""近地铁"", ""押一付一"", ""随时看房""]",2室1厅1卫,57,南,,,暂无数据,暂无数据,3,5,暂无数据,暂无数据,随时入住,随时可看,暂无数据,暂无数据,暂无数据,1,1,1,1,0,1,0,1,1,0,,,小区位于呼家楼商圈，小区管理很好，物业认真负责，温馨两居，东向板楼，毫无遮挡，可以享受暖暖的阳光，品牌家具家电，房租您的生活需求，让您的生活更加自如。房子宽敞明亮，满满的阳光感，能够为您提供高品质的生活。,https://bj.zu.ke.com/zufang/BJ2231578123596734464.html
10,19,整租,百子湾东四环后现代城A区开间北向家电家具齐全,2019-03-26,BJ2202183920500613120,https://ke-image.ljcdn.com/ehr-personnel/20181117130954629ELNI32T6.jpg,,,,"[""https://ke-image.ljcdn.com/hdic-frame/e809fd61-1189-4f79-bae3-13758c9e5b1f.png.780x439.jpg"", ""https://ke-image.ljcdn.com/110000-inspection/a43255b4-aebb-4104-9eba-e9b4d7679dc1.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/110000-inspection/3c066d88-d298-477d-b6c3-9c9281bbf5d6.jpg.780x439.jpg""]",6000,"[""近地铁"", ""集中供暖"", ""随时看房""]",1室0厅1卫,48,北,,,3年以上,3年以上,中楼层,20,暂无数据,民电,随时入住,暂无数据,有,民水,有,1,1,1,1,0,1,1,0,1,1,,,"【户型介绍】 本房位于后现代城A区，其楼层为中间楼层，无遮挡，视野广阔，开间。
【周边配套】 后现代城北向百子湾路，南朝广渠路，西接西大望路，东临东四环，距离7号线大郊亭站约700米（数据来源百度地图），距离合生汇大型购物广场约1800米（数据来源百度地图）。",https://bj.zu.ke.com/zufang/BJ2202183920500613120.html
